sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-002202_RV_07	kareRa rudDo gfhItoऽpi ca keSapASaH keSakalApaH
sp002-002203_RV_07	pASaH pakzaSca hastaSca kalApArTAH kacAtpare ityamaraH
sp002-002204_RV_07	tAvat AlokamArgaprAptiparyantam banDum banDanArTam na samBAvito na cintita eva
sp002-002205_RV_07	prasADikAlambitamiti
sp002-002206_RV_07	kAcit
sp002-002207_RV_07	prasADikayA alaNkartryA Alambitam raYjanArTa Dftam dravarAgam eva ArdrA laktakameva
sp002-002208_RV_07	agraSca asO pAdaSca iti agrapAda iti karmaDArayasamAsaH
sp002-002209_RV_07	hastAgrAgrahastAdayo guRaguRinoH BedABedAByAm iti vAmanaH
sp002-002210_RV_07	tamAkzipya Akfzya
sp002-002211_RV_07	utsfzwalilAgatiH tyaktamandagamanA satI
sp002-002212_RV_07	A gavAkzAt gavAkzaparyantam padavIm panTAnam alaktakANkAm lAkzArAgacihnAm tatAna vistArayAmAsa
sp002-002213_RV_07	vilocanamiti
sp002-002214_RV_07	aparA strI dakziRam vilocanam aYjanena samBAvya alaNkftya
sp002-002215_RV_07	samBramAditi BAvaH
sp002-002216_RV_07	tadvaYcitam tena aYjanena varjitam vAmanetram yasyAH sA satI taTEva SalAkAm
sp002-002217_RV_07	aYjanatUlikAm vahantI satI vAtAyanasannikarzam gavAkzasamIpam yayO
sp002-002218_RV_07	dakziRagrahaRam samBramAt vyutkramakaraRadyotanArTam
sp002-002219_RV_07	savyam hi pUrvam manuzyA aYjate iti SruteH
sp002-002220_RV_07	jAlantareti
sp002-002221_RV_07	anyA strI jAlAntaraprezitadfzwiH gavAkzamaDyapreritadfzwiH satI
sp002-002222_RV_07	prasTAnena gamanena BinnAm truwitAm nIvIm vasanagnanTim
sp002-002223_RV_07	nIvI paripaRe granTO strIRAm jaGanavAsasi iti viSvaH
sp002-002224_RV_07	na babanDa
sp002-002225_RV_07	kintu nABipravizwA ABaraRAnAm kaNkaRAdInAm praBA yasya tena
sp002-002226_RV_07	praBEva nABeH ABaraRam aBUt iti BAvaH
sp002-002227_RV_07	hastena vAsaH avalambya gfhItvA tasTO
sp002-002228_RV_07	arDAYciteti
sp002-002229_RV_07	satvaramutTitAyAH kasyAScit arDAYcitA maRiBiH arDagumPitA durnimite samBramAt utkzipte
sp002-002230_RV_07	qumiYprakzepaRe iti DAtoH karmaRi ktaH
sp002-002231_RV_07	pade pade pratipadam
sp002-002232_RV_07	vIpsAyAm dvirBAvaH
sp002-002233_RV_07	galantI galadratnA satI raSanA meKalA tadAnIm gamanasamaye aNguzWa mUle arpitam sUtrameva Sezo yasyAH sA AsIt
sp002-002234_RV_07	tAsAmiti
sp002-002235_RV_07	tadAnIm sAndrakutUhalAnAm tAsAm strIRAm AsavaganDo garBe yezAm tEH
sp002-002236_RV_07	vilolAni netrARyeva BramarAH yezAm tEH
sp002-002237_RV_07	muKEH vyAptAntarAH CannAvakASAH gavAkzAH sahasrapatrABaraRA iva kamalAlaNkftA iva
sp002-002238_RV_07	sahasrapatram kamalam ityamaraH
sp002-002239_RV_07	Asan
sp002-002240_RV_07	tA iti
sp002-002241_RV_07	tA nAryaH raGorapatyam rAGavam ajam
sp002-002242_RV_07	tasyApatyamiti aRpratyayaH
sp002-002243_RV_07	dfzwiBiH ApibantyaH atitfzRayA paSyantyaH vizayAntarARi anyAnvizayAn na jagmuH
sp002-002244_RV_07	na vividuH ityarTaH
sp002-002245_RV_07	taTAhi
sp002-002246_RV_07	AsAm nArIRAm SezendriyavfttiH cakzurvyatirikta SrotrAdIndriyavyApAraH sarvAtmanA svarUpakArtsnyena cakzuH pravizweva
sp002-002247_RV_07	SrotrAdIni indriyARi svAtantryeRa grahaRASakteH cakzureva praviSya kOtukAt svayam api enam upalaBante kimu
sp002-002248_RV_07	anyaTA svasvavizayADigamaH kim na syAditi BAvaH
sp002-002249_RV_07	SfRvankaTAH SrotrasuKAH kumAraH iti vakzyati
sp002-002250_RV_07	tAH kaTayati sTAne ityAdiBiH triBiH sTAna iti
sp002-002251_RV_07	BojyA indumatI parokzEH adfzwEH BUpatiBiH vftA mamEva iyamiti
sp002-002252_RV_07	prArTitApi svayaMvarameva sADum hitam amaMsta mene
sp002-002253_RV_07	na tu parokzameva kaYcitprArTakam vavre
sp002-002254_RV_07	sTAne yuktametat
sp002-002255_RV_07	yukte dve sAmpratam sTAne ityamaraH
sp002-002256_RV_07	kutaH
sp002-002257_RV_07	anyaTA svayaMvarABAve asO indumatI
sp002-002258_RV_07	padmamasyAH astIti padmA lakzmIH
sp002-002259_RV_07	arSa AdiByoऽc iti acpratyayaH
sp002-002260_RV_07	nArAyaRamiva
sp002-002261_RV_07	Atmatulyam svAnurUpam kAntam patim kaTam laBeta
sp002-002262_RV_07	na laBeta iva
sp002-002263_RV_07	sadasat viveka asOkaryAditi BAvaH
sp002-002264_RV_07	paraspareReti
sp002-002265_RV_07	spfhaRIyaSoBam sarvASAsyasOndaryamidam dvandvam miTunam
sp002-002266_RV_07	dvandvam rahasya ityAdinA nipAtaH
sp002-002267_RV_07	paraspareRa nAyojayizyaccet na yojayet yadi tarhi prajAnAm patyuH
sp002-002268_RV_07	viDAtuH asmindvaye dvandve rUpaviDAnayatnaH sOndaryanirmARaprayAsaH vitaTaH viPalaH aBavizyat
sp002-002269_RV_07	etAdfSa anurUpastrIpuMsAntarABAvAt iti BAvaH
sp002-002270_RV_07	liNnimitte laNkriyAtipattO iti lfN
sp002-002271_RV_07	kutaScitkAraRavEguRyAt kriyAyAH anaBinizpattiH kriyAtipattiH iti vfttikAraH
sp002-002272_RV_07	ratismarAviti
sp002-002273_RV_07	ratismarO yO nityasahacarO iti aBiprAyaH
sp002-002274_RV_07	nUnam tO eva iyam ca ayam ca imO dampatI aBUtAm
sp002-002275_RV_07	etadrUpeRa utpannO
sp002-002276_RV_07	kutaH
sp002-002277_RV_07	taTAhi
sp002-002278_RV_07	iyam bAlA rAjYAm sahasrezu rAjasahasramaDye
sp002-002279_RV_07	satyapi vyatyAsakAraRe iti BAvaH
sp002-002280_RV_07	AtmapratirUpam svatulyameva
sp002-002281_RV_07	tulyasaNkASanIkASaprakASapratirUpakAH iti daRqI
sp002-002282_RV_07	gatA prAptA
sp002-002283_RV_07	tadapi kaTam jAtam ata Aha hi yasmAt manaH janmAntarasaNgatijYam Bavati
sp002-002284_RV_07	tadeva idamiti pratyaBijYABAveऽpi vAsanAviSezavaSAt anuBUtArTezu manaHpravfttiH asti ityuktam
sp002-002285_RV_07	janmAntarasAhacaryameva atra pravartakamiti BAvaH
sp002-002286_RV_07	itIti
sp002-002287_RV_07	iti sTAne vftA ityAdyuktaprakAreRa pOravaDUmuKeByaH udgatAH utpannAH SrotrayoH suKA maDurAH
sp002-002288_RV_07	suKaSabdo viSezyaniGnaH
sp002-002289_RV_07	pApapuRyasuKAdi ca ityamaraH
sp002-002290_RV_07	kaTAH giraH SfRvan kumAraH ajaH maNgalasaMviDABiH maNgalaracanABiH
sp002-002291_RV_07	udBAsitam SoBitam sambanDinaH kanyAdAyinaH sadma gfham samAsasAda prApa
sp002-002292_RV_07	tata iti
sp002-002293_RV_07	tataH anantaram kareRukAyAH hastinyAH sakASAt ASu SIGram avatIrya
sp002-002294_RV_07	kAmarUpeSvare datto hasto yena saH ajaH
sp002-002295_RV_07	aTa anantaram vEdarBeRa nirdizwam pradarSitam antaScatuzkam catvaram
sp002-002296_RV_07	nArIRAm manAMsIva viveSa
sp002-002297_RV_07	mahArheti
sp002-002298_RV_07	mahArhasiMhAsane saMsTitaH asO ajaH
sp002-002299_RV_07	Bojena upanItam
sp002-002300_RV_07	ratnEH sahitam saratnam
sp002-002301_RV_07	maDuparkamiSram arGyam pUjAsADanadravyam dukUlayoH kzOmayoH yugmam ca vanitAkawAkzEH anyastrIRAm apANgadarSanEH sArDam
sp002-002302_RV_07	jagrAha gfhItavAn
sp002-002303_RV_07	dukUlavAsA iti
sp002-002304_RV_07	dukUlavAsAH saH ajaH vinItEH namrEH avaroDarakzEH antaHpurADikftEH vaDUsamIpam ninye
sp002-002305_RV_07	tatra dfzwAntaH sPuwaPenarAjiH udanvAnsamudro navEH nUtanEH candrapAdEH candrakiraREH velAyAH sakASam samIpamiva
sp002-002306_RV_07	pUrRadfzwAntoऽyam
sp002-002307_RV_07	tatreti
sp002-002308_RV_07	tatra sadmani arcitaH pUjitaH agnikalpaH agnitulyaH BojapateH BojadeSADISvarasya puroDAH purohitaH
sp002-002309_RV_07	puroDAstu purohitaH ityamaraH
sp002-002310_RV_07	AjyAdiBiH dravyEH agniMhutvA tameva ca agnim vivAhasAkzya ADAya
sp002-002311_RV_07	sAkziRam ca kftvA ityarTaH
sp002-002312_RV_07	vaDUvarO saNgamayAYcakAra yojayAmAsa
sp002-002313_RV_07	hasteneti
sp002-002314_RV_07	sa rAjasUnuH hastena svakIyena vaDvAH hastam parigfhya
sp002-002315_RV_07	anantarAyAH sannihitAyAH aSokalatAyAH pravAlam pallavam pratipallavena svakIyena prApya cUtaH AmraH iva
sp002-002316_RV_07	sutarAm cakAse
sp002-002317_RV_07	AsIditi
sp002-002318_RV_07	varaH kaRwakitaH pulakitaH prakozWo yasya sa AsIt
sp002-002319_RV_07	sUcyagre kzudraSatrO ca romaharze ca kaRwakaH ityamaraH
sp002-002320_RV_07	kumArI KinnANguliH saMvavfte baBUva
sp002-002321_RV_07	atra utprekzate tasmindvaye miTune tatkzaRam AtmavfttiH sAttvikodayarUpA vfttiH
sp002-002322_RV_07	manoBavena kAmena samam viBakteva pfTakkfteva
sp002-002323_RV_07	prAksidDasyApi anurAgasAmyasya samprati tatkAryadarSanAt pARisparSakftatvam utprekzate
sp002-002324_RV_07	atra vAtsyAyanaH kanyA tu praTamasamAgame KinnANguliH KinnamuKI ca Bavati
sp002-002325_RV_07	puruzastu romAYcito Bavati
sp002-002326_RV_07	eBiH anayorBAvam parIkzeta
sp002-002327_RV_07	iti
sp002-002328_RV_07	strIpuruzayoH svedaromAYcABiDAnam sAttvikamAtropalakzaRam
sp002-002329_RV_07	na tu pratiniyamo vivakzitaH
sp002-002330_RV_07	eBiriti bahuvacanasAmarTyAt
sp002-002331_RV_07	evam sati kumArasamBave romodgamaH prAduraBUt umAyAH svinnANguliH puNgavaketurAsIt iti vyutkramavacanam na dozAyeti
sp002-002332_RV_07	vfttistayoH pARisamAgamena samam viBakteva manoBavasya iti aparArDasya pAWAntare vyAKyAnAntaram
sp002-002333_RV_07	pARisamAgamena pARyoH saMsparSena kartrA tayoH vaDUvarayoH manoBavasya vfttiH sTitiH samam viBakteva
sp002-002334_RV_07	samIkfteva ityarTaH
sp002-002335_RV_07	tayoriti
sp002-002336_RV_07	apANgezu netraprAntezu pratisAritAni pravartitAni kriyayoH nirIkzaRalakzaRayoH samApattyA
sp002-002337_RV_07	yadfcCAsaNgatyA nivartitAni pratyAkfzwAni anyonyasmin lolAni satfzRAni
sp002-002338_RV_07	lolaScalasatfRayoH ityamaraH
sp002-002339_RV_07	tayoH dampatyoH vilocanAni dfzwayaH manojYAm ramyAm hriyA nimittena yantraRAm saNkocam AnaSire prApuH
sp002-002340_RV_07	pradakziReti
sp002-002341_RV_07	tanmiTunam udarcizaH unnatajvAlasya kfSAnoH vahneH pradakziRaprakramaRAt pradakziRIkaraRAt
sp002-002342_RV_07	merorupAntezu samIpezu vartamAnam AvartamAnam
sp002-002343_RV_07	merum pradakziRIkurvat ityarTaH
sp002-002344_RV_07	anyonyasaMsaktam parasparasaNgatam
sp002-002345_RV_07	miTunasApi etat viSezaRam
sp002-002346_RV_07	ahaSca triyAmA ca ahastriyAmam rAtrindivamiva
sp002-002347_RV_07	samAhAre dvandvEkavadBAvaH
sp002-002348_RV_07	cakAse didIpe
sp002-002349_RV_07	nitambagurvIti
sp002-002350_RV_07	nitambena gurvI alaGvI
sp002-002351_RV_07	durDarAlaGunorgurvI iti SASvataH
sp002-002352_RV_07	viDAtfpratimena brahmatulyena tena guruRA yAcakena prayuktA juhuDIti niyuktA
sp002-002353_RV_07	mattacakorasyeva netre yasyAH sA lajjAvatI sA vaDUH agnO lAjavisargam cakAra
sp002-002354_RV_07	aviriti
sp002-002355_RV_07	havizaH AjyAdeH SamIpallavAnAm lAjAnAm ca ganDaH asyAstIti haviHSamIpallavalAjaganDI
sp002-002356_RV_07	SamIpallavamiSrAMllAjAn aYjalinA vapati iti kAtyAyanaH
sp002-002357_RV_07	puRyo DUmaH kfSAnoH pAvakAdudiyAya udBUtaH
sp002-002358_RV_07	kapolayoH saMsarpiRI prasaraRaSIlA SiKA yasya sa taToktaH sa DUmaH
sp002-002359_RV_07	tasyAH vaDvAH muhUrtam karRotpalatAm karRABaraRatAm prapede
sp002-002360_RV_07	taditi
sp002-002361_RV_07	tadvaDUmuKamAcAreRa prAptAt DUmagrahaRAt
sp002-002362_RV_07	aYjanasya kledaH aYjanakledaH
sp002-002363_RV_07	aYjanamiSra bAzpodakam ityarTaH
sp002-002364_RV_07	tena samAkulAkzam
sp002-002365_RV_07	pramlAnaH bIjANkuraH yavANkura eva karRapUraH avataMsaH
sp002-002366_RV_07	yasya tatpAwalagaRqaleKam aruRagaRqasTalam ca baBUva
sp002-002367_RV_07	tAviti
sp002-002368_RV_07	kanakAsanasTO tO kanyAkumArO snAtakEH gfhasTaviSezEH
sp002-002369_RV_07	snAtakastu Apluto vratI ityamaraH
sp002-002370_RV_07	banDumatA
sp002-002371_RV_07	banDupuraHsareRa ityarTaH
sp002-002372_RV_07	rAjYA ca puranDriBiH patiputravatIBiH nArIBiSca kramaSaH prayuktam
sp002-002373_RV_07	snAtakAdInAm pUrvapUrvavESizwyAt krameRa kftam ArdrakzatAnAm AropaRam anvaBUtAm anuBUtavantO
sp002-002374_RV_07	itIti
sp002-002375_RV_07	aDiSrIH aDikasampannaH BojakulapradIpaH sa rAjA
sp002-002376_RV_07	iti svasuH indumatyAH pARigrahaRam vivAham sampAdya kArayitvA
sp002-002377_RV_07	mahIpatInAm rAjYAm pfTak ekEkaSaH arhaRArTam pUjArTam aDikftAn aDikAriRaH samAdideSA AjYApayAmAsa
sp002-002378_RV_07	liNgEriti
sp002-002379_RV_07	mudaH santozasya liNgEScihnEH kapawahAsAdiBiH saMvftavikriyAH nigUhitamatsarAH
sp002-002380_RV_07	ataeva prasannA bahiH nirmalA gUQanakrAH antarlInagrAhAH hradAH iva sTitAste nfpAH vEdarBam
sp002-002381_RV_07	Bojam Amantrya ApfcCya tadIyAm vEdarBIyAm pUjAm upadAcCalena upAyanamizeRa pratyarpya yayuH gatavantaH
sp002-002382_RV_07	sa iti
sp002-002383_RV_07	AramBasidDO kAryasidDO vizaye
sp002-002384_RV_07	pUrvam kftA kftapUrvA
sp002-002385_RV_07	supsupeti samAsaH
sp002-002386_RV_07	kftapUrvA saMvitsaNketo mArgAvaroDarUpaH upAyo yena sa taToktaH
sp002-002387_RV_07	saMvidyudDe pratijYAyAm saNketAcAranAmasu iti keSavaH
sp002-002388_RV_07	sa rAjalokaH samayopalaByam ajaprasTAnakAle laByam
sp002-002389_RV_07	tadA tasya ekAkitvAt iti BAvaH
sp002-002390_RV_07	samaropalaByam iti pAWe yudDasADyam ityarTaH
sp002-002391_RV_07	tatpramadEva Amizam Bogyavastu
sp002-002392_RV_07	Amizam tvastriyAm mAMse taTA syAt Bogya vastuni iti keSavaH
sp002-002393_RV_07	AdAsyamAno grahIzyamARaH san ajasya panTAnam Avftya avaruDya tasTO
sp002-002394_RV_07	BartA iti
sp002-002395_RV_07	anuzWitaH sampAditaH anantarajAyA anujAyA vivAho yena sa taToktaH
sp002-002396_RV_07	kraTakESikAnAm deSAnAm BartA svAmI Bojoऽpi tAvat tadA sattvAnurUpam utsAhAnurUpam yaTA taTA
sp002-002397_RV_07	A samantAt
sp002-002398_RV_07	anena aniyatavastudAnam ityarTaH
sp002-002399_RV_07	haraRam kanyAyE deyam Danam
sp002-002400_RV_07	yOtakAdi tu yaddeyam sudAyo haraRam ca tat ityamaraH
sp002-002401_RV_07	AharaRIkftA SrIH yena taToktaH san rAGavam ajam prAsTApayat prasTApitavAn
sp002-002402_RV_07	svayam anvagAt anujagAma ca
sp002-002403_RV_07	tisra iti
sp002-002404_RV_07	kuRqinam vidarBanagaram tasyeSaH BojaH trizu lokezu praTitena ajena sArDam mArge paTi tisraH vasatIH rAtrIH izitvA sTitvA
sp002-002405_RV_07	vasatI rAtriveSmanoH ityamaraH
sp002-002406_RV_07	kAlADvanoratyantasaMyoge iti dvitIyA
sp002-002407_RV_07	parvAtyaye darSAnte uzRaraSmeH sUryAt somaH candraH iva
sp002-002408_RV_07	tasmAt ajAt apAvartata
sp002-002409_RV_07	tam visfjya nivfttaH ityarTaH
sp002-002410_RV_07	pramanyava iti
sp002-002411_RV_07	nfpAH rAjAnaH prAgapi pratyekam AttasvatayA digvijaye gfhItaDanatvena kosalendre raGO pramanyavo rUQavErAH baBUvuH
sp002-002412_RV_07	ato hetoH sametAH saNgatAH santaH tadAtmajasya raGusUnoH strIratnalABam na cakzamire na sehire
sp002-002413_RV_07	tamiti
sp002-002414_RV_07	dfptaH udDataH saH rAjanyagaRaH rAjasaNGAtaH
sp002-002415_RV_07	BojakanyAm udvahantam nayantam tamajam
sp002-002416_RV_07	balinA vErocaninA pradizwAm dattAm Sriyam AdadAnam svIkurvARam
sp002-002417_RV_07	trivikramasya imam trEvikramam
sp002-002418_RV_07	pAdam indraSatruH prahlAdaH iva
sp002-002419_RV_07	paTi ruroDa
sp002-002420_RV_07	taTA ca brahmARqapurARe virocanaviroDeऽpi prahlAdaH prAktanam smaran
sp002-002421_RV_07	vizRostu kramamARasya pAdAmBojam ruroDa ha
sp002-002422_RV_07	iti
sp002-002423_RV_07	tasyA iti
sp002-002424_RV_07	sa kumAraH ajaH tasyAH indumatyAH rakzArTam analpayoDam bahuBawam
sp002-002425_RV_07	piturAgatam pitryam
sp002-002426_RV_07	AptamityarTaH
sp002-002427_RV_07	sacivamAdiSya AjYApya tAm pArTivavAhinIm rAjasenAm
sp002-002428_RV_07	DvajinI vAhinI senA ityamaraH
sp002-002429_RV_07	BAgIraTIm uttaraNgaH SoRaH SoRAKyo nada iva
sp002-002430_RV_07	pratyagrahIt aBiyuktavAn
sp002-002431_RV_07	pattiriti
sp002-002432_RV_07	pattiH pAdacAro yodDA padAtim pAdacAram aByapatat
sp002-002433_RV_07	padA pAdAByAm atatIti padAtiH
sp002-002434_RV_07	pAdasyapad ityAdinA padAdeSaH
sp002-002435_RV_07	padAtipatti padaga pAdAtika padAjayaH ityamaraH
sp002-002436_RV_07	raTeSaH raTikaH raTinam raTAroham aByapatat
sp002-002437_RV_07	turaNgasAdi aSvArohaH turagADirUQam aSvAroham aByapatat
sp002-002438_RV_07	raTinaH syandanArohAH aSvArohAstu sAdinaH ityamaraH
sp002-002439_RV_07	gajasya yantA hastyArohaH gajasTam puruzam aByapatat
sp002-002440_RV_07	itTamanena prakAreRa tulyapratidvandvi ekajAtIyapratiBawam yudDam baBUva
sp002-002441_RV_07	anyonyam dvandvam kalahaH asti yezAmiti pratidvandvino yoDAH
sp002-002442_RV_07	dvandvam kalahayugmayoH ityamaraH
sp002-002443_RV_07	nadatsu iti
sp002-002444_RV_07	tUryezu nadatsu satsu aviBAvyavAcaH anavaDAryagiraH cApaBftaH DAnuzkAH kulamupadiSyate
sp002-002445_RV_07	praKyApyate yEH te kulopadeSAH tAn kulanAmAni nodIrayanti sma noccArayAmAsuH
sp002-002446_RV_07	Srotum aSakyatvAt vAcaH nAbruvan ityarTaH
sp002-002447_RV_07	kintu bARAkzarEH bARezu liKitAkzarEreva parasparasya anyonyasya Urjitam praKyAtam nAma SaSaMsuH UcuH
sp002-002448_RV_07	utTApita iti
sp002-002449_RV_07	saMyati saNgrAme aSvErutTApitaH
sp002-002450_RV_07	syandanavaMSAnAm raTasamUhAnAm cakrEH raTANgEH sAndrIkftaH GanIkftaH
sp002-002451_RV_07	vaMSaH pfzWAsTni gehorDvakAzWe veRO gaRe kule iti keSavaH
sp002-002452_RV_07	kuYjarakarRAnAm tAlEH tAqanEH vistAritaH prasAritaH reRuH netrakrameRa aMSukaparipAwyA
sp002-002453_RV_07	aMSukamiva ityarTaH
sp002-002454_RV_07	syAt jawAMSukayornetram iti kramoNGrO paripAwyAm ca iti ca keSavaH
sp002-002455_RV_07	sUryam uparuroDa AcCAdayAmAsa
sp002-002456_RV_07	matsyaDvajA iti
sp002-002457_RV_07	vAyuvaSAt vidIrREH vivftErmuKEH pravfdDAni DvajinIrajAMsi sEnyareRUn pibantaH gfhRantaH
sp002-002458_RV_07	matsyaDvajA matsyAkArA DvajAH paryAvilAni paritaH kaluzARi navodakAni pibantaH paramArTamatsyAH satyamatsyA iva
sp002-002459_RV_07	baBuH BAnti sma
sp002-002460_RV_07	raTa iti
sp002-002461_RV_07	sAndre pravfdDe rajasi raTaH raTANgaDvaninA cakrasvanena vijajYe jYAtaH
sp002-002462_RV_07	nAgo hastI vilolAnAm GaRwAnAm kvaRitena nAdena vijajYe
sp002-002463_RV_07	AtmaparAvaboDaH svaparavivekaH
sp002-002464_RV_07	yoDAnAmiti SezaH
sp002-002465_RV_07	svaBartfRAm svasvAminAm nAmagrahaRAt nAmoccAraRAt baBUva
sp002-002466_RV_07	rajoऽnDatayA sarve svam param ca SabdAdeva anumAya prajaGnuH ityarTaH
sp002-002467_RV_07	AvfRvata iti
sp002-002468_RV_07	locanamArgam AvfRvataH dfzwipaTam uparunDataH
sp002-002469_RV_07	AjO yudDe vijfmBitasya vyAptasya
sp002-002470_RV_07	raja eva anDakAram tasya
sp002-002471_RV_07	SastrakzatepyaH aSvadvipavIreByaH janma yasya saH taToktaH ruDirapravAhaH bAlAruRaH bAlArkaH aBUt
sp002-002472_RV_07	aruRo BAskareऽpi syAt ityamaraH
sp002-002473_RV_07	bAlaviSezaRam ruDirasAvarRyArTam
sp002-002474_RV_07	sa iti
sp002-002475_RV_07	kzatajena ruDireRa CinnamUlaH
sp002-002476_RV_07	tyAjitaBUtalasambanDaH ityarTaH
sp002-002477_RV_07	tasya kzatajasya uparizwAt pavanAvaDUto vAtAhataH sa reRuH
sp002-002478_RV_07	aNgAraSezasya hutASanasya agneH pUrvotTito DUma iva
sp002-002479_RV_07	AbaBAse didIpe
sp002-002480_RV_07	prahAreti
sp002-002481_RV_07	raTasTAH raTinaH prahAreRa yA mUrcCA tasyAH apagame sati
sp002-002482_RV_07	mUrCitAnAm anyatra nItvA saMrakzaRam sAraTiDarma iti kftvA
sp002-002483_RV_07	nivartitASvAn yantFn sAraTIn upAlaBya asADu kftam iti aDikzipya
sp002-002484_RV_07	pUrvam yEH svayam sAditA hatAH
sp002-002485_RV_07	lakzitapUrvaketUn
sp002-002486_RV_07	pUrvadfzwEH ketuBiH pratyaBijYAtAn ityarTaH
sp002-002487_RV_07	tAneva sAmarzatayA sakopatvena hetunA nijaGnuH prajahruH
sp002-002488_RV_07	api iti
sp002-002489_RV_07	arDaSca asO mArgaSca tasmin arDamArge parezAm bAREH lUnAH CinnAH api hastavatAm
sp002-002490_RV_07	kftahastAnAm DanurBftAm pfzatkAH SarAH AtmajavAnuvfttyA svavegAnubanDena hetunA PaliBiH lohAgravadBiH
sp002-002491_RV_07	sasyabARAgrayoH Palam iti viSvaH
sp002-002492_RV_07	pUrvArDaBAgEH
sp002-002493_RV_07	SfRAtIti SaruH
sp002-002494_RV_07	tasmE hitam Saravyam lakzyam
sp002-002495_RV_07	ugavAdiByo yat iti yatpratyayaH
sp002-002496_RV_07	lakzam lakzyam Saravyam ca ityamaraH
sp002-002497_RV_07	samprApureva
sp002-002498_RV_07	na tu maDye patitA ityarTaH
sp002-002499_RV_07	ADoraRAnAmiti
sp002-002500_RV_07	gajasannipAte gajayudDe niSitEH ata eva kzurAgrEH kzurasya agramiva agram yezAm tEH cakrEH AyuDaviSezEH hftAni CinnAnyapi
sp002-002501_RV_07	SyenAnAm pakziviSezARAm
sp002-002502_RV_07	pakzI SyenaH ityamaraH
sp002-002503_RV_07	naKAgrakowizu vyAsaktAH keSAH yezAm tAni
sp002-002504_RV_07	ADoraRAnAm hastyArohARAm
sp002-002505_RV_07	ADoraRA hastipakA hastyArohA nizAdinaH ityamaraH
sp002-002506_RV_07	SirAMsi cireRa petuH patitAni
sp002-002507_RV_07	SiraHpAtAt prAgeva Aruhya paScAt utpatatAm pakziRAm naKezu keSaprasaNgaH cirapAtaheturiti BAvaH
sp002-002508_RV_07	pUrvamiti
sp002-002509_RV_07	pUrvam praTamam prahartA aSvasAdI tOraNgikaH pratiprahAre akzamam aSaktam turaNgamaskanDe nizaRRadeham
sp002-002510_RV_07	mUrcCitam ityarTaH
sp002-002511_RV_07	ripum BUyo na jaGAna punarna prajahAra
sp002-002512_RV_07	kintu pratyASvasantam punarujjIvantam AcakANkza
sp002-002513_RV_07	nAyuDavyasanam prAptam nArtam nAtiparikzatam iti nizeDAditi BAvaH
sp002-002514_RV_07	tanutyajAmiti
sp002-002515_RV_07	tanutyajAm
sp002-002516_RV_07	tanuzu niHspfhARAmityarTaH
sp002-002517_RV_07	varmaBftAm kavacinAm sambanDiBiH bfhatsu dantezu patadBiH ata eva vikoSEH piDAnAt udDftEH
sp002-002518_RV_07	koSoऽstrI kuqmale KaqgapiDAne ityamaraH
sp002-002519_RV_07	asiBiH KaqgEH udyantam utTitam agnim vivignA BItA gajAH
sp002-002520_RV_07	karasIkareRa SuRqAdaRqajalakaRena SamayAmbaBUvuH SAntam cakruH
sp002-002521_RV_07	SilImuKa iti
sp002-002522_RV_07	SilImuKEH bAREH utkfttAni SirAMsyeva PalAni tEH AQyA sampannA
sp002-002523_RV_07	cyutEH BrazwEH SirAMsi trAyante iti SirastrARi SIrzaRyAni
sp002-002524_RV_07	SIrzaRyam ca Sirastre aTa ityamaraH
sp002-002525_RV_07	tEH cazakottarA cazakaH pAnapAtramuttaram yasyAm sA iva
sp002-002526_RV_07	cazakoऽstrI pAnapAtram ityamaraH
sp002-002527_RV_07	SoRitAnyeva madyam tasya kulyAH pravAhAH yasyAm sA
sp002-002528_RV_07	kulyAlpA kftrimA sarit ityamaraH
sp002-002529_RV_07	raRakzitiH yudDaBUmiH mftyoH pAnaBUmiriva rarAja
sp002-002530_RV_07	upAntayoriti
sp002-002531_RV_07	upAntayoH prAntayoH vihaNgEH pakziBiH nizkuzitam KaRqitam
sp002-002532_RV_07	iRnizWAyAm iti iqAgamaH
sp002-002533_RV_07	BujacCedam BujaKaRqam teByaH vihaNgeByaH Akzipya AcCidya
sp002-002534_RV_07	piSitapriyA mAMsapriyApi SivA krozwrI
sp002-002535_RV_07	SivaH kIlaH SivA krozwrI iti viSvaH
sp002-002536_RV_07	keyUrakowyA aNgadAgreRa kzataH tAludeSo yasyAH sA satI
sp002-002537_RV_07	apAcakArA apasArayAmAsa
sp002-002538_RV_07	kirateH karotervA liw
sp002-002539_RV_07	kaSciditi
sp002-002540_RV_07	dvizataH Kaqgena hftottamANgaH CinnaSirAH kaScidvIraH sadyaH vimAnapraButAm vimAnADipatyam
sp002-002541_RV_07	devatvamityarTaH
sp002-002542_RV_07	upetya prApya vAmANgasaMsaktAm savyotsaNgasaNginI surANganA yasya
sp002-002543_RV_07	sa taToktaH san samare nftyat svayam svam nijam kabanDam viSiraskam kalevaram dadarSa
sp002-002544_RV_07	kabanDoऽstrI kriyAyuktam apamUrDakalevaram ityamaraH
sp002-002545_RV_07	anyonyeti
sp002-002546_RV_07	kOcit vIrO anyonyasya sUtayoH sAraTyoH unmaTanAt niDanAt tO vaeva sUtO raTinO yodDArO ca aBUtAm
